index,id,eventid,resid,resdepth,position,rotation,scale,material,shader,texture,font,events,components,children
17,fog,0,mesh_skynight_obj,:4,-7.740056E-06:-32.1262:378.4941,270:180:0,1:1:1,ui_home_cloud_tex,Particles/Alpha Blended,ui_home_cloud_tex,0,0,0,0
18,sky,0,mesh_skynight_obj,:5,5.702224E-06:331.7119:417.5,270:180:0,1:1:1,ui_home_sky_tex,Particles/Alpha Blended,ui_home_sky_tex,0,0,0,0
19,slot_chr_info_dec,0,slot_chr_info,0,0:0:0,0:0:0,1:1:1,0,0,0,0,0,"CharacterSlot:{DataSource:{}Table:{}Field:{}QueryKey:{NAME}UpdateOnFrame:{False}}",20:21:22:23:24:25
20,chr_grade,0,slot_chr_info,:0,0:-36:-3,0:0:0,0.6:0.6:1,0,0,0,0,0,"Grade:{DataSource:{}Table:{character_table}Field:{grade}QueryKey:{PARENT/NAME}UpdateOnFrame:{False}GradeObject:{icon_grade_1;icon_grade_2;icon_grade_3;icon_grade_4;icon_grade_5;icon_grade_7;icon_grade_8}UseParentScale:{True}}",0
21,text_upgrade,0,slot_chr_info,:1,52:-10:-1,0:0:0,1:1:1,font_godic_tex,Particles/Alpha Blended,font_godic_tex,font_godic,0,"Text:{UseInGameWord:{False}UseCostString:{False}TextID:{}PreFix:{+}PostFix:{}}TextGameData:{DataSource:{MyHeros:level}Table:{}Field:{}QueryKey:{PARENT/NAME}UpdateOnFrame:{False}}",0
22,text_level,0,slot_chr_info,:2,52:62:-1,0:0:0,1:1:1,font_godic_tex,Particles/Alpha Blended,font_godic_tex,font_godic,0,"Text:{UseInGameWord:{False}UseCostString:{False}TextID:{}PreFix:{Lv.}PostFix:{}}TextGameData:{DataSource:{MyHeros:level}Table:{}Field:{}QueryKey:{PARENT/NAME}UpdateOnFrame:{False}}",0
23,text_name,0,slot_chr_info,:3,0:-60:-1,0:0:0,1:1:1,font_godic_tex,Particles/Alpha Blended,font_godic_tex,font_godic,0,"Text:{UseInGameWord:{True}UseCostString:{False}TextID:{}PreFix:{}PostFix:{}}TextGameData:{DataSource:{}Table:{character_table}Field:{name}QueryKey:{PARENT/NAME}UpdateOnFrame:{False}}",0
24,thumbnail_icon,0,slot_chr_info,:4,0:16:10,0:0:0,1:1:1,icon_tex,Unlit/Transparent,ui_empty_tex,0,0,"Icon:{DataSource:{}Table:{character_table}Field:{faceicon}QueryKey:{PARENT/NAME}UpdateOnFrame:{False}}",0
25,font_team_member,0,slot_chr_info,:5,-31:46:-5,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,"ActiveControlGameData:{DataSource:{DecPosition}Table:{}Field:{}QueryKey:{PARENT/NAME}UpdateOnFrame:{False}CheckResultType:{INT}VisibleMin:{0}VisibleMax:{0}}",0
26,icon_grade_5,0,icon_grade_5,0,0:0:-1,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,27:28:29:30
27,icon_grade_5,0,icon_grade_5,:0,30:0:-2,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
28,icon_grade_5,0,icon_grade_5,:1,-30:0:0,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
29,icon_grade_5,0,icon_grade_5,:2,60:0:-3,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
30,icon_grade_5,0,icon_grade_5,:3,-60:0:1,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
31,ui_damage_counters,0,ui_damage_counters,0,0:0:0,0:0:0,1:1:1,font_img_white_tex_colorchange,Mobile/Particles/VertexLit Blended,font_img_white_tex,font_img_white,0,"Text:{UseInGameWord:{False}UseCostString:{False}TextID:{}PreFix:{}PostFix:{}}",0
32,icon_grade_2,0,icon_grade_2,0,-15:0:-1,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,33
33,icon_grade_2,0,icon_grade_2,:0,15:0:-2,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
34,slot_chr_inven2,0,slot_chr_inven2,0,0:0:-60,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,"Button:{InputType:{TAP}OnTap:{None,}EventTargetID:{}}",0,0
35,ui_damage_counter_critical,"0",ui_damage_counter_animation,0,0:0:0,0:0:0,1:1:1,0,0,0,0,0,"TextAnimation:{TextObjectName:{ui_damage_counters}PlayTime:{0.5}StartOnLoad:{False}UnloadOnEnd:{True}PositionStart:{0:0:0}PositionEnd:{0:300:1}PositionAnimation:{time:{0}value:{0}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{2}outTangent:{2}}ScaleStart:{1.5:1.5:1}ScaleEnd:{0.2:0.2:1}ScaleAnimation:{time:{0}value:{0}inTangent:{0}outTangent:{0};time:{0.6661077}value:{0.1773499}inTangent:{1.002699}outTangent:{1.002699};time:{1}value:{1}inTangent:{2}outTangent:{2}}ColorStart:{1:0:0:1}ColorEnd:{0.5597015:0.2798508:0.2798508:0.01176471}ColorAnimation:{time:{0}value:{0}inTangent:{1}outTangent:{1};time:{1}value:{1}inTangent:{1}outTangent:{1}}}",0
36,slot_chr_type4,0,slot_chr_type4,0,0:0:-60,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,"Button:{InputType:{TAP}OnTap:{None,}EventTargetID:{}}",0,0
37,worldmap_downcover,0,worldmap_downcover,0,0:0:0,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
38,ui_line,0,ui_line,0,0:0:0,0:0:0,1:1:1,0,0,0,0,0,0,0
39,worldmap_marker_stage,0,worldmap_marker_stage,0,0:0:-20,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,"Collider:{OnPress:{None,}EventTargetID:{}}",0,40:42:44
40,icon_gem_world1,0,worldmap_marker_stage,:0,-37:-40:-25,0:0:0,1:1:1,0,0,0,0,0,0,41
41,icon_gem1,0,worldmap_marker_stage,:0:0,-37:-40:-25,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,"Animation:{PlayTime:{1}StartOnLoad:{False}UseRepeat:{False}UnloadOnEnd:{False}PositionStart:{0:0:0}PositionEnd:{0:0:0}PositionAnimation:{time:{0}value:{1}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{0}outTangent:{0}}ScaleStart:{1:1:1}ScaleEnd:{1:1:1}ScaleAnimation:{time:{0}value:{1}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{0}outTangent:{0}}ColorStart:{0.2:0.1764706:0.09019608:1}ColorEnd:{1:1:1:1}ColorAnimation:{time:{0}value:{0}inTangent:{2}outTangent:{2};time:{1}value:{1}inTangent:{0}outTangent:{0}}}",0
42,icon_gem_world2,0,worldmap_marker_stage,:1,0:-40:-25,0:0:0,1:1:1,0,0,0,0,0,0,43
43,icon_gem2,0,worldmap_marker_stage,:1:0,0:-40:-25,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,"Animation:{PlayTime:{1}StartOnLoad:{False}UseRepeat:{False}UnloadOnEnd:{False}PositionStart:{0:0:0}PositionEnd:{0:0:0}PositionAnimation:{time:{0}value:{1}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{0}outTangent:{0}}ScaleStart:{1:1:1}ScaleEnd:{1:1:1}ScaleAnimation:{time:{0}value:{1}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{0}outTangent:{0}}ColorStart:{0.2:0.1764706:0.09019608:1}ColorEnd:{1:1:1:1}ColorAnimation:{time:{0}value:{0}inTangent:{2}outTangent:{2};time:{1}value:{1}inTangent:{0}outTangent:{0}}}",0
44,icon_gem_world3,0,worldmap_marker_stage,:2,37:-40:-25,0:0:0,1:1:1,0,0,0,0,0,0,45
45,icon_gem3,0,worldmap_marker_stage,:2:0,37:-40:-25,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,"Animation:{PlayTime:{1}StartOnLoad:{False}UseRepeat:{False}UnloadOnEnd:{False}PositionStart:{0:0:0}PositionEnd:{0:0:0}PositionAnimation:{time:{0}value:{1}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{0}outTangent:{0}}ScaleStart:{1:1:1}ScaleEnd:{1:1:1}ScaleAnimation:{time:{0}value:{1}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{0}outTangent:{0}}ColorStart:{0.2:0.1764706:0.09019608:1}ColorEnd:{1:1:1:1}ColorAnimation:{time:{0}value:{0}inTangent:{2}outTangent:{2};time:{1}value:{1}inTangent:{0}outTangent:{0}}}",0
46,worldmap_marker_home,0,worldmap_marker_home,0,0:0:-20,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
47,mesh_skymorning_obj,0,mesh_skymorning_obj,0,0:-90:400,0:180:0,10:10:10,0,0,0,0,0,0,48:49
48,floor,0,mesh_skymorning_obj,:0,1.303365E-05:-90:440,270:180:0,1:1:1,ui_home_floor_tex,Particles/Alpha Blended,ui_home_floor_tex,0,0,0,0
49,sky,0,mesh_skymorning_obj,:1,6.516827E-06:270:420,270:180:0,1:1:0.8,ui_home_sky_tex,Particles/Alpha Blended,ui_home_sky_tex,0,0,0,0
50,ui_damage_counter,"0",ui_damage_counter_animation,0,0:0:0,0:0:0,1:1:1,0,0,0,0,0,"TextAnimation:{TextObjectName:{ui_damage_counters}PlayTime:{0.5}StartOnLoad:{False}UnloadOnEnd:{True}PositionStart:{0:0:0}PositionEnd:{0:300:1}PositionAnimation:{time:{0}value:{0}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{2}outTangent:{2}}ScaleStart:{1:1:1}ScaleEnd:{0.2:0.2:1}ScaleAnimation:{time:{0}value:{0}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{2}outTangent:{2}}ColorStart:{1:1:1:1}ColorEnd:{1:1:1:0}ColorAnimation:{time:{0}value:{0}inTangent:{1}outTangent:{1};time:{1}value:{1}inTangent:{1}outTangent:{1}}}",0
51,ui_booster_buy_select,0,ui_booster_buy_select,0,0:0:-10,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
52,ui_damage_counter3,"0",ui_damage_counter_animation,0,0:0:0,0:0:0,1:1:1,0,0,0,0,0,"TextAnimation:{TextObjectName:{ui_damage_counters}PlayTime:{0.5}StartOnLoad:{False}UnloadOnEnd:{True}PositionStart:{0:0:0}PositionEnd:{0:300:1}PositionAnimation:{time:{0}value:{0}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{2}outTangent:{2}}ScaleStart:{1:1:1}ScaleEnd:{0.2:0.2:1}ScaleAnimation:{time:{0}value:{0}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{2}outTangent:{2}}ColorStart:{1:1:1:1}ColorEnd:{1:1:1:0}ColorAnimation:{time:{0}value:{0}inTangent:{1}outTangent:{1};time:{1}value:{1}inTangent:{1}outTangent:{1}}}",0
53,ui_damage_counter4,"0",ui_damage_counter_animation,0,0:0:0,0:0:0,1:1:1,0,0,0,0,0,"TextAnimation:{TextObjectName:{ui_damage_counters}PlayTime:{0.5}StartOnLoad:{False}UnloadOnEnd:{True}PositionStart:{0:0:0}PositionEnd:{0:300:1}PositionAnimation:{time:{0}value:{0}inTangent:{1}outTangent:{1};time:{1}value:{1}inTangent:{1}outTangent:{1}}ScaleStart:{1:1:1}ScaleEnd:{0.2:0.2:1}ScaleAnimation:{time:{0}value:{0}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{2}outTangent:{2}}ColorStart:{1:1:1:1}ColorEnd:{1:1:1:0}ColorAnimation:{time:{0}value:{0}inTangent:{1}outTangent:{1};time:{1}value:{1}inTangent:{1}outTangent:{1}}}",0
54,slot_chr_type1,0,slot_chr_type1,0,0:0:-60,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,"Button:{InputType:{TAP}OnTap:{None,}EventTargetID:{}}",0,0
55,ui_hp_pc,"0",ui_hp_pc,0,0:0:0,0:0:0,2:2:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
56,ui_damage_counter2,"0",ui_damage_counter_animation,0,0:0:0,0:0:0,1:1:1,0,0,0,0,0,"TextAnimation:{TextObjectName:{ui_damage_counters}PlayTime:{0.5}StartOnLoad:{False}UnloadOnEnd:{True}PositionStart:{0:0:0}PositionEnd:{0:300:1}PositionAnimation:{time:{0}value:{0}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{2}outTangent:{2}}ScaleStart:{1:1:1}ScaleEnd:{0.2:0.2:1}ScaleAnimation:{time:{0}value:{0}inTangent:{1}outTangent:{1};time:{1}value:{1}inTangent:{1}outTangent:{1}}ColorStart:{1:1:1:1}ColorEnd:{1:1:1:0}ColorAnimation:{time:{0}value:{0}inTangent:{1}outTangent:{1};time:{1}value:{1}inTangent:{1}outTangent:{1}}}",0
57,mesh_skyeven_obj,0,mesh_skyeven_obj,0,0:-90:400,0:180:0,10:10:10,0,0,0,0,0,0,58:59
58,floor,0,mesh_skyeven_obj,:0,1.303365E-05:-90:440,270:180:0,1:1:1,ui_home_floor_tex,Particles/Alpha Blended,ui_home_floor_tex,0,0,0,0
59,sky,0,mesh_skyeven_obj,:1,6.516827E-06:280:420,270:180:0,1:1:0.8,ui_home_sky_tex,Particles/Alpha Blended,ui_home_sky_tex,0,0,0,0
60,icon_chr_type1,0,icon_chr_type1,0,0:0:-1,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
61,ui_chr_viewer,"0",ui_chr_viewer,0,0:0:0,0:0:0,1:1:1,0,0,0,0,0,"CharacterViewer:{Dir:{Down}UseParentScale:{True}}",0
62,ui_damage_counter_critical2,"0",ui_damage_counter_animation,0,0:0:0,0:0:0,1:1:1,0,0,0,0,0,"TextAnimation:{TextObjectName:{ui_damage_counters}PlayTime:{0.8}StartOnLoad:{False}UnloadOnEnd:{True}PositionStart:{0:0:-1}PositionEnd:{0:300:0}PositionAnimation:{time:{0}value:{0}inTangent:{1}outTangent:{1};time:{0.2475465}value:{0.004029751}inTangent:{0.01627876}outTangent:{0};time:{1}value:{1}inTangent:{1}outTangent:{1}}ScaleStart:{1.5:1.5:1}ScaleEnd:{0.2:0.2:1}ScaleAnimation:{time:{0}value:{0}inTangent:{0}outTangent:{0};time:{0.1029807}value:{0.2051606}inTangent:{0.3065262}outTangent:{0.3065262};time:{0.2240971}value:{0.1352126}inTangent:{-0.2911687}outTangent:{-0.2911687};time:{0.3386193}value:{0.2038596}inTangent:{0.5322509}outTangent:{0.5322509};time:{0.4542511}value:{0.129836}inTangent:{-0.1043081}outTangent:{-0.1043081};time:{1}value:{1}inTangent:{2}outTangent:{2}}ColorStart:{1:0:0:1}ColorEnd:{0.5597015:0.2798508:0.2798508:1}ColorAnimation:{time:{0}value:{0}inTangent:{0.01212235}outTangent:{0.01212235};time:{0.3986544}value:{0.004832626}inTangent:{0}outTangent:{0};time:{1}value:{1}inTangent:{1.654901}outTangent:{1.654901}}}",0
63,icon_grade_7,0,icon_grade_7,0,0:0:-1,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,64:65:66:67:68:69
64,icon_grade_7,0,icon_grade_7,:0,30:0:-2,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
65,icon_grade_7,0,icon_grade_7,:1,-30:0:0,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
66,icon_grade_7,0,icon_grade_7,:2,60:0:-3,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
67,icon_grade_7,0,icon_grade_7,:3,-60:0:1,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
68,icon_grade_7,0,icon_grade_7,:4,90:0:-4,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
69,icon_grade_7,0,icon_grade_7,:5,-90:0:2,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
70,slot_chr_inven1,0,slot_chr_inven1,0,0:0:-60,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,"Button:{InputType:{TAP}OnTap:{None,}EventTargetID:{}}",0,0
71,ui_damage_counter_critical4,"0",ui_damage_counter_animation,0,0:0:0,0:0:0,1:1:1,0,0,0,0,0,"TextAnimation:{TextObjectName:{ui_damage_counters}PlayTime:{0.7}StartOnLoad:{False}UnloadOnEnd:{True}PositionStart:{0:0:-1}PositionEnd:{0:300:0}PositionAnimation:{time:{0}value:{0}inTangent:{0.01872459}outTangent:{0.01872459};time:{0.2264525}value:{0.00424023}inTangent:{0.01872459}outTangent:{0.6529942};time:{1}value:{1}inTangent:{1.287264}outTangent:{1.287264}}ScaleStart:{3:3:1}ScaleEnd:{1:1:1}ScaleAnimation:{time:{0}value:{0}inTangent:{0}outTangent:{0};time:{0.2536439}value:{0.9970601}inTangent:{1.08853}outTangent:{0.0130154};time:{0.9990637}value:{1.000124}inTangent:{0.0130154}outTangent:{2}}ColorStart:{1:0:0:0}ColorEnd:{1:0:0:1}ColorAnimation:{time:{0}value:{0}inTangent:{1}outTangent:{1};time:{0.2296396}value:{0.9993545}inTangent:{0.9998679}outTangent:{0.001091466};time:{0.4318684}value:{0.9568328}inTangent:{-1.380742}outTangent:{-1.380742};time:{0.9916123}value:{0.03710723}inTangent:{0.001091466}outTangent:{3.453079}}}",0
72,ui_gauge_leader_skill,"0",ui_gauge_leader_skill,0,0:0:0,0:0:0,2:2:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
73,ui_damage_counter_critical3,"0",ui_damage_counter_animation,0,0:0:0,0:0:0,1:1:1,0,0,0,0,0,"TextAnimation:{TextObjectName:{ui_damage_counters}PlayTime:{0.5}StartOnLoad:{False}UnloadOnEnd:{True}PositionStart:{0:0:0}PositionEnd:{0:300:1}PositionAnimation:{time:{0}value:{0}inTangent:{1.966477}outTangent:{1.966477};time:{0.1012091}value:{0.1990253}inTangent:{0.989136}outTangent:{0.01179486};time:{0.4996048}value:{0.2037244}inTangent:{0.01179486}outTangent:{1.591293};time:{1}value:{1}inTangent:{1.591294}outTangent:{1.591294}}ScaleStart:{1.5:1.5:1}ScaleEnd:{0.2:0.2:1}ScaleAnimation:{time:{0}value:{0}inTangent:{0}outTangent:{0};time:{0.4544865}value:{0.007971946}inTangent:{0.1957547}outTangent:{0.1957547};time:{1}value:{1}inTangent:{2}outTangent:{2}}ColorStart:{1:0:0:1}ColorEnd:{0.5597015:0.2798508:0.2798508:0.01176471}ColorAnimation:{time:{0}value:{0}inTangent:{1}outTangent:{1};time:{1}value:{1}inTangent:{1}outTangent:{1}}}",0
74,slot_chr_type3,0,slot_chr_type3,0,0:0:-60,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,"Button:{InputType:{TAP}OnTap:{None,}EventTargetID:{}}",0,0
75,thumbnail_stage_01,0,thumbnail_stage_01,0,0:0:10,270:180:0,10:10:10,stage_1_tex,Particles/Alpha Blended,stage_01_tex,0,0,0,0
76,icon_grade_4,0,icon_grade_4,0,-15:0:-1,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,77:78:79
77,icon_grade_4,0,icon_grade_4,:0,15:0:-2,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
78,icon_grade_4,0,icon_grade_4,:1,-45:0:0,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
79,icon_grade_4,0,icon_grade_4,:2,45:0:-3,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
80,mesh_slot_choiceguide_obj,0,mesh_slot_choiceguide_obj,0,0:0:40,90:0:0,10:5:10,ui_chr_slot_effect_01,Particles/Additive,ui_chr_slot_effect_01,0,0,0,81:82:83:84
81,01,0,mesh_slot_choiceguide_obj,:0,0.001546435:6.440779E-06:26.13488,90:0:0,1:1:1,ui_chr_slot_effect_01,Particles/Additive,ui_chr_slot_effect_01,0,0,0,0
82,02,0,mesh_slot_choiceguide_obj,:1,0.001546435:3.944271E-06:33.11563,90:0:0,1:1:1,ui_chr_slot_effect_02,Particles/Additive,ui_chr_slot_effect_02,0,0,0,0
83,03,0,mesh_slot_choiceguide_obj,:2,0.001546435:7.108494E-06:24.26782,90:0:0,0.95:1:0.95,ui_chr_slot_effect_03,Particles/Additive,ui_chr_slot_effect_03,0,0,0,0
84,04,0,mesh_slot_choiceguide_obj,:3,0.001546435:5.563899E-06:28.58682,90:0:0,1:1:1,ui_chr_slot_effect_04,Particles/Additive,ui_chr_slot_effect_04,0,0,0,0
85,slot_inven_item,0,slot_inven_item,0,0:0:-5,0:0:0,1:1:1,ui_colored_tex,Particles/Alpha Blended,ui_colored_tex,0,0,0,86:88:90:91:92
86,btn_equip_item,0,slot_inven_item,:0,205:0:-10,0:0:0,1:1:1,ui_colored_tex,Particles/Alpha Blended,ui_colored_tex,0,"Button:{InputType:{TAP}OnTap:{None,}EventTargetID:{}}",0,87
87,font_equip_item,0,slot_inven_item,:0:0,205:0:-11,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
88,btn_sale_item,0,slot_inven_item,:1,75:0:-10,0:0:0,1:1:1,ui_colored_tex,Particles/Alpha Blended,ui_colored_tex,0,"Button:{InputType:{TAP}OnTap:{LoadScene,Hash:{scene:{system_message}id:{3}}}EventTargetID:{}}",0,89
